"","Sex","Year","DoY","Index","Clone","Phenophase_Derived","Heat","Heatsum","Orchard"
"198","FEMALE",1997,159,446,1526,"2",6.8,316.4,220
"199","FEMALE",1997,161,446,1526,"2",10.3,334,220
"200","FEMALE",1997,163,446,1526,"3",12.5,358.8,220
"201","FEMALE",1997,148,447,1531,"1",10.5,222.1,220
"202","FEMALE",1997,150,447,1531,"1",10.3,243.2,220
"203","FEMALE",1997,153,447,1531,"1",8.5,270.7,220
"204","FEMALE",1997,155,447,1531,"2",7,288,220
"205","FEMALE",1997,157,447,1531,"2",7.3,303.1,220
"206","FEMALE",1997,159,447,1531,"2",6.8,316.4,220
"207","FEMALE",1997,161,447,1531,"3",10.3,334,220
"208","FEMALE",1997,163,447,1531,"3",12.5,358.8,220
"209","FEMALE",1997,148,448,1598,"2",10.5,222.1,220
"210","FEMALE",1997,150,448,1598,"2",10.3,243.2,220
"211","FEMALE",1997,153,448,1598,"2",8.5,270.7,220
"212","FEMALE",1997,155,448,1598,"2",7,288,220
"213","FEMALE",1997,157,448,1598,"2",7.3,303.1,220
"214","FEMALE",1997,159,448,1598,"3",6.8,316.4,220
"215","FEMALE",1997,161,448,1598,"3",10.3,334,220
"216","FEMALE",1997,163,448,1598,"3",12.5,358.8,220
"217","FEMALE",1997,148,453,988,"1",10.5,222.1,220
"218","FEMALE",1997,150,453,988,"2",10.3,243.2,220
"219","FEMALE",1997,153,453,988,"2",8.5,270.7,220
"220","FEMALE",1997,155,453,988,"2",7,288,220
"221","FEMALE",1997,157,453,988,"2",7.3,303.1,220
"222","FEMALE",1997,159,453,988,"2",6.8,316.4,220
"223","FEMALE",1997,161,453,988,"3",10.3,334,220
"224","FEMALE",1997,163,453,988,"3",12.5,358.8,220
"225","FEMALE",1997,148,454,1502,"1",10.5,222.1,220
"226","FEMALE",1997,150,454,1502,"1",10.3,243.2,220
"227","FEMALE",1997,153,454,1502,"2",8.5,270.7,220
"228","FEMALE",1997,155,454,1502,"2",7,288,220
"229","FEMALE",1997,157,454,1502,"2",7.3,303.1,220
"230","FEMALE",1997,159,454,1502,"2",6.8,316.4,220
"231","FEMALE",1997,161,454,1502,"3",10.3,334,220
"232","FEMALE",1997,163,454,1502,"3",12.5,358.8,220
"233","FEMALE",1997,148,457,1557,"1",10.5,222.1,220
"234","FEMALE",1997,150,457,1557,"1",10.3,243.2,220
"235","FEMALE",1997,153,457,1557,"2",8.5,270.7,220
"236","FEMALE",1997,155,457,1557,"2",7,288,220
"237","FEMALE",1997,157,457,1557,"2",7.3,303.1,220
"238","FEMALE",1997,159,457,1557,"3",6.8,316.4,220
"239","FEMALE",1997,161,457,1557,"3",10.3,334,220
"240","FEMALE",1997,163,457,1557,"3",12.5,358.8,220
"241","FEMALE",1997,148,458,1591,"1",10.5,222.1,220
"242","FEMALE",1997,150,458,1591,"2",10.3,243.2,220
"243","FEMALE",1997,153,458,1591,"2",8.5,270.7,220
"244","FEMALE",1997,155,458,1591,"2",7,288,220
"245","FEMALE",1997,157,458,1591,"3",7.3,303.1,220
